UID,Review_ID,Name,Rating,Text
29,1,Qasim I.,4,its PTA approved device..
29,2,Raheel A.,5,Very Nice Mobile Thanks
30,1,Ali H.,5,Mobile phone kamal ka. tha bilkul ok piece tha.
30,2,farhat B.,3,Baki Mobil tu thk ha but battery timing thori fast ha baki best ha thanks draz seller
30,3,Hamza K.,5,bhot hi acha ha atna price ma acha hi atya ha
30,4,Ismail M.,2,"At daraz my experience of purchasing is very good, but this time I am facing trouble as the front camera of said phone is blurred."
30,5,*******239,2,your service was good and mobile was also good but it Battary low fast. And battery time is not good.thx
31,1,M***.,5,"Recommended seller 💯 fast shipping, pin packed.This phone has been warranty active 6 weeks ago on manufacture date by Samsung. Phone is original and has not been repacked. The warranty is 24 months and will expire september 2025.So hurry up before your favorite color is sold out."
31,2,3***2,3,"In description section it says: What's in the box = 1 Phone , 1 Charger. But there is no Charger in the box. I know Samsung latest phone don't have chargers anymore, But then, why did your write it Like that. Moreover, the description/Specification Style of this phone in the daraz store was the worst thing I have ever seen. Kindly hire someone good. Other then of that, Original Seller(Samsung Flagship Store) is Selling Original/Sealed mobile phones. Good Delivery Service. So overall 3 Star"
31,3,faizan R.,5,#RWC2. Genuine product with quick delivery.
31,4,faizan R.,5,#RWC2. Genuine product with quick delivery.
31,5,3***9,5,In-time delivery and exact product. Fully satisfied with Daraz and their 11.11 sale.
31,6,Hamza T.,5,Recommended sellar. Original product PTA approved. Deliver time to Lahore 3 days.
32,1,habib H.,5,mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na
32,2,Mrs A.,3,Nice Cell phone delivered safely but 1 thing is shameful that no adopter with mobile at this heavy price.. only data cable found in the box .. Great services by daraz
32,3,UMER,5,"Thanks a lot Daraz for their phenomenal service and a great discount of 5000 the device is very reasonablekeeping the current situation of the inflation I would highly recommend this over all other Chinese brands the look and feel of the device is awesome same like the flagship series of samsung and performance is also acceptable overall the only drawback being the charger not included with the device, which adds another couple of thousand to the already inflated price But still I like the phone thanks again daraz for providing the great experience and service Thanks a lot Daraz 😊❣️💥"
32,4,sara A.,5,Placed order on 14 sep and received on 16 September in afternoon. Packaging was intact. Sealed box. Received without any damage. It was a wonderful experience.
32,5,habib H.,5,mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na
32,6,Muhammad I.,5,"The Samsung A14 is a solid choice for those seeking a budget-friendly smartphone. With 4GB of RAM and 128GB of storage, it handles daily tasks with ease and provides ample space for apps and media. The device's performance is snappy, and it runs apps smoothly. The camera quality is good for the price range, and the battery life is impressive. If you're looking for a reliable smartphone with a balance of performance and storage, the Samsung A14 won't disappoint."
33,1,3***0,4,Deliver in 3 days No warrenty card No handfrees in box Only charger and low quality backcover in box Light weight Pakistan make set sparx Not Techno Spark Neo X But har cheez kam kar rahi hai design Acha hai Color Jo mangwaya wohi aya
33,2,3***1,5,Bht acha mobile he .Thank you.EXCELLENT Service.Delivered on time.
33,3,Muhammad M.,5,so reasonable so beautiful just like a woo ❤️😊😂 thanks daraz and thnks seller 👍
33,4,Usman H.,5,Beautiful and nice produt recommended to all. seller is Honest ❤️.
33,5,Kashif I.,5,bhotttt shukrya Daraz original product hai... fast dilevry.. I am fully satisfied ☺️ thanks 👍🏻😊😊😊😊😊😊😊
33,6,0***4,5,very nice mobile i love it it's worth it in this price
35,1,Rizwan A.,5,befor 11.11 Sale Excellent Masha Allah and Jazak Allah for seller Allah karobar me barkat de same as shown or saller ne mujhe new dia stock abhi warrant start bhi nhi hui hai jan-24 se Dec-23 ki Warenty hai Thank You Seller & Daraz jitni Tareef ki jai kam hai 100% Geniun & Recomended
35,2,M H.,5,excelllent quality same as shown super sy bhi uper daraz sy jab bhi order kia A One rha i love daraz tanx seller also hamara itemaad bnanay k liay👩‍🎓
35,3,Zahid A.,5,great it as shown it was my 6th order good experience highly recommanded daraz ...A weekness delivery is too slow..... thanks Daraz and seller...mob have no privacy system very bad
35,4,3***1,5,thank you daraz jesi chiz dikhai he same wahi bhji h wonderful amazing mobile
35,5,Umer A.,5,mashallah bohut acha h taba pack bahja hai recommend seller and the store♥️♥️♥️
36,1,Amjid H.,5,"well packed, buht hi acha original mobile,, very fast delivery within just 2 days. good seller, I'm very happy and satisfied, thanks"
36,2,Usman A.,5,mobile is 100% genuine....😍 sealed pack.... seller is so much co operative... 🥰 price is very low than other sellers or market....👍 recommended to all....👍👍 thanks 💚
36,3,0***8,5,"Great seller, Awesome, thank you so much.recommended seller"
36,4,Sarfaraz A.,5,25 rupay ziada Lia but product acha aur original tha
36,5,Qasim G.,5,very very good working.. thanks seller very responsible person. very one close Ur eye and buy it.. 💖 seal pack
36,6,0***5,5,مجھے اعلیٰ معیار کا موبائل فون ملا ہے اور سیلر بہت ایماندار، تیز رفتار اور اچھی سروس فراہم کرنے والا ہے، اس لیے میں اس کی سفارش تمام دوستوں سے کرنا چاہتا ہوں، شکریہ
37,1,Umer F.,1,The phone is damaged and is not working . Has been a week that I ordered a return request but haven’t received any rider who can pick up the defected piece
37,2,3***1,5,"it's really was a good experience , mobile phone has a brand new look, it's performance in future will prove it's ultimate quality and cost effectiveness"
37,3,*******847,3,پلیز سر اپنا چیز واپس لے جاو نہیں چاے ہم
37,4,Tahir I.,1,good experience
38,1,3***5,5,"i loved the phone, its orignal n sealed brand new phone. Thank you seller."
38,2,M***.,5,#11.11 excellent quality
